epoch,train_loss,loss_classifier,loss_box_reg,loss_objectness,loss_rpn_box_reg,learning_rate
1,0.9310616142647241,0.27652371939151515,0.21022480910503735,0.1129994553924408,0.331313632468703,0.005
2,0.6520887970603922,0.17872796508093033,0.21433262871478193,0.04386387105470383,0.215164331298682,0.005
3,0.5270956068910578,0.13170801279365377,0.19380481773486702,0.030378406957512902,0.17120436899444108,0.005
4,0.4572979154125337,0.1069137836976718,0.17993579404328458,0.024381926488531852,0.14606641220950312,0.005
5,0.4041502728898038,0.08823280783510336,0.16694808587111454,0.01951995754854814,0.12944942400340112,0.005
6,0.3659970409447147,0.07562408255793715,0.15434799066955043,0.01716627378857905,0.11885869416898938,0.005
7,0.33471887486596263,0.0637537409020688,0.1442132512087463,0.014248829898274234,0.11250305125710144,0.005
8,0.3000241464344404,0.05538838955583752,0.13524342552628568,0.012960119121607834,0.09643221203918739,0.005
9,0.27880358167233005,0.049538073520506584,0.1261345424479054,0.012115574898749029,0.09101539035077377,0.005
10,0.25534879576454883,0.04391076235521224,0.1177378952983887,0.011080359679556662,0.08261977862166141,0.0005
11,0.19934101643100863,0.03618222557168494,0.09329765426215306,0.008607966824114242,0.06125316997208903,0.0005
12,0.1846556425975856,0.03432903746243126,0.08587298904775932,0.008528577773431216,0.055925038322726245,0.0005
13,0.1780732978656087,0.03308460800357724,0.08311352283964234,0.0077787666632893986,0.054096400126894956,0.0005
14,0.17270663961447696,0.03228831456433381,0.08043461667513975,0.007713017824997184,0.05227069066016264,0.0005
15,0.16952622950237284,0.03162893958349702,0.07883829731614359,0.007311376793089733,0.05174761598989848,0.0005
16,0.16627313553165363,0.030915147464682338,0.07696629952519171,0.007556396155362769,0.0508352927463029,0.0005
17,0.16308402021725973,0.030773265061960105,0.07501508952468953,0.007518868639587014,0.04977679750832018,0.0005
18,0.1603618386772371,0.03020105125402571,0.07368718924862082,0.0070630848865895985,0.04941051392265225,0.0005
19,0.15711843166300046,0.029715274761040366,0.072361316912437,0.006802179704179927,0.04823965965820256,0.0005
20,0.1552939298813061,0.029626758653991003,0.0708282898550713,0.006990920555444875,0.04784796092539064,5e-05
21,0.15038917389928655,0.028872955069747023,0.06770396891540738,0.007153320468596673,0.04665892936729936,5e-05
22,0.1491745074670161,0.02874594987420145,0.06727147310651758,0.0073765713642651755,0.0457805132503391,5e-05
23,0.1493383501405998,0.028824363189238693,0.06704814954390449,0.006701669420406062,0.04676416843268339,5e-05
24,0.14879407345127033,0.028531797981310274,0.0670084723381586,0.006683232200141716,0.04657057097422019,5e-05
25,0.14903658728605956,0.02853817793150102,0.06685854799004011,0.007444245337698889,0.04619561580400313,5e-05
